first_name,last_name,affiliation
Daniel,Archambault,"Swansea University, UK"
Fabian ,Beck ,"University of Stuttgart, Germany"
Stefan,Bruckner,"University of Bergen, Norway"
Roxana,Bujack ,"Los Alamos National Laboratory, USA"
Hamish,Carr,"University of Leeds, UK"
Jian,Chen,"University of Maryland Baltimore County, USA"
Min,Chen,"University of Oxford, UK"
Wei,Chen,"Zhejiang University, China"
Hank,Childs,"University of Oregon, USA"
Jaegul,Choo,"Korea University, South Korea"
Jia-Kai,Chou,"University of California, Davis"
Oliver,Deussen,"University of Konstanz, Germany"
Jason,Dykes,"City University London, UK"
Issei,Fujishiro,"Keio University, Japan"
Christoph,Garth,"University of Kaiserslautern, Germany"
Hanqi,Guo,"Argonne National Laboratory, USA"
Helwig,Hauser,"University of Bergen, Norway"
Seokhee,Hong,"University of Sydney, Australia"
Petra  ,Isenberg,"INRIA, France"
Johannes,Kehrer,"Technische Universität München, Germany"
Andreas,Kerren,"Linnaeus University, Sweden"
Bongshin,Lee,"Microsoft Research, USA"
Jie,Liang,"University of Technology Sydney, Australia"
Lars,Linsen,"Jacobs University Bremen, Germany"
Shixia,Liu,"Tsinghua University, China"
Aidong,Lu,"University of North Carolina at Charlotte, USA"
Torsten,Möller,"University of Vienna, Austria"
Klaus,Mueller,"Stony Brook University, USA"
Cao,Nan,"IBM Research, USA"
Alex,Pang,"University of California at Santa Cruz, USA"
Maurizio,Patrignani,"Universita' di Roma Tre, Italy"
Bernhard,Preim,"University of Magdeburg, Germany"
Benjamin ,Renoust,"National Institute of Informatics, Japan"
Gerik,Scheuermann,"University of Leipzig, Germany"
Tobias,Schreck ,"Graz University of Technology, Austria"
Thomas,Schultz,"University of Bonn, Germany"
Michael,Sedlmair,"University of Vienna, Austria"
Jinwook,Seo,"Seoul National University, Korea"
Han-Wei,Shen,"Ohio State University, USA"
Conglei,Shi,"IBM T.J. Watson Research Center, USA"
Lei,Shi,"Institute of Software, Chinese Academy of Sciences, China"
Guodao,Sun,"Zhejiang University of Technology, China"
Xavier,Tricoche,"Purdue University, USA"
Ivan,Viola,"Vienna University of Technology, Austria"
Panpan,Xu,"Bosch Research, USA"
Anders,Ynnerman,"Linköping University, Sweden"
Lingyun ,Yu,"University of Groningen, Netherlands"
Xiaoru,Yuan,"Peking University, China"
Eugene,Zhang,"Oregon State University, USA"
Jiawan,Zhang,"Tianjin University, China"
Jian,Zhao,"Fuji-Xerox Palo Alto Laboratory, USA"
Ye,Zhao,"Kent State University, USA"
Hong,Zhou,"Shenzhen University, China"
